dataset	model	lang1	lang2	mrr
nusax	mbert	minangkabau	indonesian	0.08927536516462763
nusax	mbert	toba_batak	sundanese	0.0143617818283174
nusax	mbert	toba_batak	banjarese	0.029664005444014294
nusax	mbert	toba_batak	acehnese	0.026105933481660595
nusax	mbert	toba_batak	madurese	0.025408120025954033
nusax	mbert	toba_batak	balinese	0.023792546557472285
nusax	mbert	toba_batak	buginese	0.01992210016339306
nusax	mbert	toba_batak	ngaju	0.021302290971848895
nusax	mbert	toba_batak	javanese	0.014717458437723457
nusax	mbert	toba_batak	minangkabau	0.023355055882721028
nusax	mbert	toba_batak	toba_batak	0.0
nusax	mbert	toba_batak	english	0.00023479798651282997
nusax	mbert	toba_batak	indonesian	0.00809111218745053
nusax	mbert	english	sundanese	0.0051322671356413335
nusax	mbert	english	banjarese	0.004859978963485924
nusax	mbert	english	acehnese	0.006225866103612056
nusax	mbert	english	madurese	0.0023333733378102686
nusax	mbert	english	balinese	0.0037222254095059396
nusax	mbert	english	buginese	0.0015031197364054896
nusax	mbert	english	ngaju	0.0031015714148917516
nusax	mbert	english	javanese	0.004705947567110669
nusax	mbert	english	minangkabau	0.005752802102809273
nusax	mbert	english	toba_batak	0.0034474532584806853
nusax	mbert	english	english	0.0
nusax	mbert	english	indonesian	0.029351574841167495
nusax	mbert	indonesian	sundanese	0.06750180424466667
nusax	mbert	indonesian	banjarese	0.15244254382908426
nusax	mbert	indonesian	acehnese	0.026508135709890683
nusax	mbert	indonesian	madurese	0.017723708578025004
nusax	mbert	indonesian	balinese	0.07892619204560443
nusax	mbert	indonesian	buginese	0.004891860726207281
nusax	mbert	indonesian	ngaju	0.06985803064278084
nusax	mbert	indonesian	javanese	0.09826903908375664
nusax	mbert	indonesian	minangkabau	0.14001841259514525
nusax	mbert	indonesian	toba_batak	0.012992337240174947
nusax	mbert	indonesian	english	0.005832193749834371
nusax	mbert	indonesian	indonesian	0.0
nusax	xlmr	sundanese	sundanese	0.0
nusax	xlmr	sundanese	banjarese	0.03921499419311601
nusax	xlmr	sundanese	acehnese	0.017929043804933754
nusax	xlmr	sundanese	madurese	0.021345393197509104
nusax	xlmr	sundanese	balinese	0.05664173705029382
nusax	xlmr	sundanese	buginese	0.004874757883049482
nusax	xlmr	sundanese	ngaju	0.024095769896184786
nusax	xlmr	sundanese	javanese	0.04471643506351528
nusax	xlmr	sundanese	minangkabau	0.04780380962146281
nusax	xlmr	sundanese	toba_batak	0.017641105710836213
nusax	xlmr	sundanese	english	0.0005587502916840196
nusax	xlmr	sundanese	indonesian	0.010488886613594232
