ID	Name	ISO639P3code	Classification
mere1246	Merey	meq	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/meri1245
dugw1239	Dugwor	dme	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/meri1245
muya1243	Muyang	muy	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243
mada1293	Mada (Cameroon)	mxu	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243
wuzl1236	Wuzlam	udl	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243
molo1266	Moloko	mlw	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243
nort3046	North Mofu	mfk	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/mofu1250
mofu1248	Mofu-Gudur	mif	afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/mofu1250
musk1256	Muskum	mje	afro1255/chad1250/bium1280/nort3156/bium1279
musg1254	Musgu	mug	afro1255/chad1250/bium1280/nort3156/bium1279/musg1256
mbar1260	Mbara (Chad)	mpk	afro1255/chad1250/bium1280/nort3156/bium1279/musg1256
bald1241	Baldemu	bdn	afro1255/chad1250/bium1280/nort3156/maro1246
sout3051	South Giziga	giz	afro1255/chad1250/bium1280/nort3156/maro1246/gizi1243
nort3047	North Giziga	gis	afro1255/chad1250/bium1280/nort3156/maro1246/gizi1243
budu1265	Buduma	bdm	afro1255/chad1250/bium1280/nort3156/koto1267
maje1243	Majera	xmj	afro1255/chad1250/bium1280/nort3156/koto1267/jina1243
jina1244	Jina	jia	afro1255/chad1250/bium1280/nort3156/koto1267/jina1243
mser1242	Mser	kqx	afro1255/chad1250/bium1280/nort3156/koto1267/koto1263
lagw1237	Lagwan	kot	afro1255/chad1250/bium1280/nort3156/koto1267/koto1263
afad1236	Afade	aal	afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268
masl1241	Maslam	msv	afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268
mpad1242	Mpade	mpi	afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269
malg1250	Malgbe	mxf	afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269
jilb1238	Jilbe	jie	afro1255/chad1250/bium1280/unun9878
peve1243	Peve	lme	afro1255/chad1250/masa1323/sout3146
nget1241	Ngete	nnn	afro1255/chad1250/masa1323/sout3146
mesm1239	Mesme	zim	afro1255/chad1250/masa1323/sout3146
herd1236	Herde	hed	afro1255/chad1250/masa1323/sout3146
zuma1239	Zumaya	zuy	afro1255/chad1250/masa1323/nort3157/masa1324
masa1322	Masana	mcn	afro1255/chad1250/masa1323/nort3157/masa1324
muse1242	Musey	mse	afro1255/chad1250/masa1323/nort3157/marb1244
marb1239	Marba	mpg	afro1255/chad1250/masa1323/nort3157/marb1244
diri1259	Diri	dwa	afro1255/chad1250/west2785/west2790/west2712
mbur1239	Mburku	bbt	afro1255/chad1250/west2785/west2790/west2712/nucl1830
zumb1240	Zumbun	jmb	afro1255/chad1250/west2785/west2790/west2712/nucl1830
ciwo1236	Ciwogai	tgd	afro1255/chad1250/west2785/west2790/west2712/nucl1830
ajaw1236	Ajawa	ajw	afro1255/chad1250/west2785/west2790/west2712/nucl1830/west2998
siri1278	Siri	sir	afro1255/chad1250/west2785/west2790/west2712/nucl1830/west2998
paaa1242	Pa'a	pqa	afro1255/chad1250/west2785/west2790/west2712/nucl1830/west2998
miya1266	Miya	mkf	afro1255/chad1250/west2785/west2790/west2712/nucl1830/warj1254
kari1316	Kariya	kil	afro1255/chad1250/west2785/west2790/west2712/nucl1830/warj1254/warj1255
warj1253	Warji-Gala	wji	afro1255/chad1250/west2785/west2790/west2712/nucl1830/warj1254/warj1255
duwa1244	Duwai	dbp	afro1255/chad1250/west2785/west2790/west2710
ngiz1242	Ngizim	ngi	afro1255/chad1250/west2785/west2790/west2710/ngiz1243
bade1248	Bade	bde	afro1255/chad1250/west2785/west2790/west2710/ngiz1243/shir1274
tesh1239	Teshenawa	twc	afro1255/chad1250/west2785/west2790/west2710/ngiz1243/shir1274/shir1276
auyo1240	Auyokawa	auo	afro1255/chad1250/west2785/west2790/west2710/ngiz1243/shir1274/shir1276
guru1271	Guruntum-Mbaaru	grd	afro1255/chad1250/west2785/west2790/west2800/sout3161/guru1272
jimi1255	Jimi (Nigeria)	jmi	afro1255/chad1250/west2785/west2790/west2800/sout3161/guru1272
juuu1243	Ju	juu	afro1255/chad1250/west2785/west2790/west2800/sout3161/guru1272/tala1296
zang1255	Zangwal	zah	afro1255/chad1250/west2785/west2790/west2800/sout3161/guru1272/tala1296/tala1298
tala1295	Tala	tak	afro1255/chad1250/west2785/west2790/west2800/sout3161/guru1272/tala1296/tala1298
bogh1241	Boghom	bux	afro1255/chad1250/west2785/west2790/west2800/sout3161/bogh1240
kirb1236	Kir-Balar	kkr	afro1255/chad1250/west2785/west2790/west2800/sout3161/bogh1240/kirm1251
mang1416	Mangas	zns	afro1255/chad1250/west2785/west2790/west2800/sout3161/bogh1240/kirm1251
nucl1692	Gyaazi	gyz	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/geji1246
zara1252	Bu (Zaranda)	zbu	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/geji1246
luri1256	Luri	ldd	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284
polc1243	Pesse	pze	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284/polc1245
buli1260	Buli (Bauchi State)	uly	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284/polc1245
zull1239	Zul	zlu	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284/polc1245/zuli1234
lund1276	Dir-Nyamzak-Mbarimi	nzr	afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284/polc1245/zuli1234
dass1243	Dass	dot	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170
zari1242	Zari	zaz	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zaks1240
dyar1234	Dyarim	dyr	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zaks1240
saya1246	Saya	say	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zaks1240
lush1256	Dokshi	dsk	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zeem1243
nucl1693	Tulai	tvi	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zeem1243/nucl1831
dans1239	Chaari	cxh	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zeem1243/nucl1831
zeem1242	Zeem	zem	afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zeem1243/nucl1831
fyer1241	Fyer	fie	afro1255/chad1250/west2785/west2714/west2716/fyer1240
tamb1267	Tambas	tdk	afro1255/chad1250/west2785/west2714/west2716/fyer1240
kule1247	Kulere	kul	afro1255/chad1250/west2785/west2714/west2716/roni1235
ronn1241	Ron	cla	afro1255/chad1250/west2785/west2714/west2716/roni1235
shaa1247	Sya	scw	afro1255/chad1250/west2785/west2714/west2716/roni1235
mund1334	Mindat	mmf	afro1255/chad1250/west2785/west2714/west2716/roni1235/mund1337
duhw1236	Duhwa	kbz	afro1255/chad1250/west2785/west2714/west2716/roni1235/mund1337
gwan1268	Gwandara	gwn	afro1255/chad1250/west2785/west2714/west2718
haus1257	Hausa	hau	afro1255/chad1250/west2785/west2714/west2718
dera1248	Dera (Nigeria)	kna	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366
pero1241	Pero	pip	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367
kush1236	Kushi	kuh	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367
piya1245	Piya-Kwonci	piy	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367
nucl1696	Tangale	tan	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367/tang1378
kwaa1269	Kwaami	ksq	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367/tang1378/kwam1256
kutt1236	Kutto	kpa	afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367/tang1378/kwam1256
kare1348	Karekare	kai	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261
bure1242	Bure	bvh	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/unun9876
khol1240	Kholok	ktc	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/unun9876
maak1236	Maaka	mew	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/unun9876
nyam1285	Nyam	nmi	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/unun9876
gala1264	Galambu	glo	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265
daza1244	Daza	dzd	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/giiw1237
giiw1236	Giiwo	kks	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/giiw1237
ngam1282	Ngamo	nbh	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283
beel1236	Beele	bxq	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283/bola1254
nucl1695	Bole	bol	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283/bola1254
deno1239	Deno	dbb	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247/kubi1240
kubi1239	Kubi	kof	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247/kubi1240
gera1246	Gera	gew	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247/gera1248
geru1240	Geruma	gea	afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247/gera1248
ngas1240	Ngas	anc	afro1255/chad1250/west2785/west2714/west2799/west2717
mwag1236	Mwaghavul	sur	afro1255/chad1250/west2785/west2714/west2799/west2717
beln1234	Belneng	glb	afro1255/chad1250/west2785/west2714/west2799/west2717
cakf1236	Cakfem-Mushere	cky	afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243
mish1244	Miship	mjs	afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243
kofy1242	Pan	kwl	afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243/kofy1244
jort1240	Jakattoe	jrt	afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243/kofy1244
nucl1698	Nteng	nqt	afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243/kofy1244
mont1280	Montol	mtl	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311
yiwo1237	Yiwom	gek	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311
goem1240	Goemai	ank	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311
tall1250	Tal	tal	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311/tali1264
pyap1239	Pyapun	pcw	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311/tali1264/piap1250
koen1239	Koenoem	kcs	afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311/tali1264/piap1250
muku1242	Mukulu	moz	afro1255/chad1250/east2632/east2633
ubii1238	Ubi	ubi	afro1255/chad1250/east2632/east2633/east2710
mawa1270	Mawa (Chad)	mcw	afro1255/chad1250/east2632/east2633/east2710
tamk1242	Tamki	tax	afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281
soko1263	Sokoro	sok	afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281
saba1276	Saba	saa	afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281
