Classification	ID	Name
afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190	geji1246	Gejic
afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190	nyam1284	Polci-Luri
afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284	polc1245	Polcic
afro1255/chad1250/west2785/west2790/west2800/sout3162/nort3190/nyam1284/polc1245	zuli1234	Zulic
afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170	zaks1240	Zakse-Saya
afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170	zeem1243	Zeemic
afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zeem1243	nucl1831	Nuclear Zeemic
afro1255/chad1250/west2785/west2714	west2716	West Chadic A.4
afro1255/chad1250/west2785/west2714	west2718	West Chadic A.1
afro1255/chad1250/west2785/west2714	west2799	West Chadic A.2-3
afro1255/chad1250/west2785/west2714/west2716	fyer1240	Fyer-Tambas
afro1255/chad1250/west2785/west2714/west2716	roni1235	Ronic
afro1255/chad1250/west2785/west2714/west2716/roni1235	mund1337	Mundat-Karfa
afro1255/chad1250/west2785/west2714/west2799	west2715	West Chadic A.2
afro1255/chad1250/west2785/west2714/west2799	west2717	West Chadic A.3
afro1255/chad1250/west2785/west2714/west2799/west2715	tang1366	Tangalic
afro1255/chad1250/west2785/west2714/west2799/west2715	bole1261	Boleic
afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366	tang1367	Nuclear Tangalic
afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367	tang1378	Tangale-Kwami-Kupto
afro1255/chad1250/west2785/west2714/west2799/west2715/tang1366/tang1367/tang1378	kwam1256	Kwami-Kupto
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261	unun9876	Unclassified Boleic
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261	nucl1735	Nuclear Boleic
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735	gala1265	Galambu-Bele
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735	gera1247	Gera-Geruma-Kubi-Deno
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265	kirf1234	Kirfi-Bele
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234	giiw1237	Giiwo-Daza
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234	ngam1283	Ngamo-Bele
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283	bola1254	Bolanci-Bele
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247	kubi1240	Kubi-Deno
afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gera1247	gera1248	Gera-Geruma
afro1255/chad1250/west2785/west2714/west2799/west2717	kofy1243	Kofyar-Mushere-Chip
afro1255/chad1250/west2785/west2714/west2799/west2717	anga1311	Goemaic
afro1255/chad1250/west2785/west2714/west2799/west2717/kofy1243	kofy1244	Kofyaric
afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311	tali1264	Talic
afro1255/chad1250/west2785/west2714/west2799/west2717/anga1311/tali1264	piap1250	Piapung-Koenoem
afro1255/chad1250/east2632	east2633	East Chadic B
afro1255/chad1250/east2632	east2640	East Chadic A
afro1255/chad1250/east2632/east2633	east2710	East Chadic B.3
afro1255/chad1250/east2632/east2633	bara1406	Barainic
afro1255/chad1250/east2632/east2633	east2709	East Chadic B.1
afro1255/chad1250/east2632/east2633/east2710	soko1265	Sokoroic
afro1255/chad1250/east2632/east2633/east2710/soko1265	saba1281	Saba-Sokoro-Tamki
afro1255/chad1250/east2632/east2633/east2710/soko1265	milt1242	Miltuic
afro1255/chad1250/east2632/east2633/east2709	mubi1247	Mubic
afro1255/chad1250/east2632/east2633/east2709	dang1275	Dangla-Mabire-Birgit
afro1255/chad1250/east2632/east2633/east2709/dang1275	birg1240	Birgit-Mogum-Toram
afro1255/chad1250/east2632/east2633/east2709/dang1275	dang1276	Dangla
afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276	unun9877	Unclassified Dangla
afro1255/chad1250/east2632/east2640	east2775	East Chadic A.1
afro1255/chad1250/east2632/east2640	east2641	East Chadic A.3
afro1255/chad1250/east2632/east2640	east2645	East Chadic A.2
afro1255/chad1250/east2632/east2640/east2775	east2643	Sumrayic
afro1255/chad1250/east2632/east2640/east2775/east2643	ndam1255	Ndam-Tumak
afro1255/chad1250/east2632/east2640/east2775/east2643	sarw1240	Sarwa-Sumray
afro1255/chad1250/east2632/east2640/east2645	east2722	East Chadic A.2 2
afro1255/chad1250/east2632/east2640/east2645	east2721	East Chadic A.2 1
afro1255/chad1250/east2632/east2640/east2645/east2722	gabr1256	Gabri-Kimre
afro1255/semi1276	uncl1507	Unclassified Semitic
afro1255/semi1276	east2678	East Semitic
afro1255/semi1276	west2786	West Semitic
afro1255/semi1276/west2786	mode1252	Modern South Arabian
afro1255/semi1276/west2786	cent2236	Central Semitic
afro1255/semi1276/west2786	ethi1244	Ethiosemitic
afro1255/semi1276/west2786/mode1252	east2766	Eastern MSA
afro1255/semi1276/west2786/mode1252	hoby1243	Hobyot-Western MSA
afro1255/semi1276/west2786/mode1252/hoby1243	west2859	Western MSA
afro1255/semi1276/west2786/cent2236	nort3165	Northwest Semitic
afro1255/semi1276/west2786/cent2236	sayh1236	Sayhadic
afro1255/semi1276/west2786/cent2236	arab1394	Arabian
afro1255/semi1276/west2786/cent2236/nort3165	aram1259	Aramaic
afro1255/semi1276/west2786/cent2236/nort3165	cana1267	Canaanite
afro1255/semi1276/west2786/cent2236/nort3165/aram1259	impe1236	Imperial-Middle-Modern Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236	midd1367	Middle-Modern Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367	west2815	Western Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367	east2680	Eastern Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680	cent2217	Central Eastern Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680	mand1468	Macro-Mandaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217	boht1239	Bohtan
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217	turo1240	Turoyo-Mlahso
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217	nort3241	North-Eastern Neo-Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241	tran1290	Trans-Zab
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241	nort3242	Northwestern Jewish Neo-Aramaic
afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236/midd1367/east2680/cent2217/nort3241/tran1290	sout3213	Western Trans-Zab
afro1255/semi1276/west2786/cent2236/nort3165/cana1267	hebr1246	Hebrewic
afro1255/semi1276/west2786/cent2236/nort3165/cana1267	ugar1239	Ugarito-Phoenician
afro1255/semi1276/west2786/cent2236/nort3165/cana1267/ugar1239	phoe1238	Phoenician-Punic
afro1255/semi1276/west2786/cent2236/sayh1236	mode1270	Modern Sayhadic
afro1255/semi1276/west2786/cent2236/arab1394	arab1395	Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395	arab1393	Arabian Peninsula Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395	east2729	Eastern Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395	egyp1251	Egyptic Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395	nort3191	North African Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395	leva1239	Levantine-Cypriot Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393	jude1277	Judeo-Muslim Sanaani Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393	nort3402	North Arabian Beduin Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729	cent2410	Central Asian Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729	qelt1235	Qeltu
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729/cent2410	xora1234	Xorasan-Qashqa-Darya Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251	egyp1254	Egypto-Sudanic Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254	suda1235	Sudanese-Chadian Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254/suda1235	east2897	East Sudanic Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/nort3191	moro1295	Moroccan-Andalusian Arabic
afro1255/semi1276/west2786/cent2236/arab1394/arab1395/nort3191	malt1259	Malta-Tunisian Arabic
afro1255/semi1276/west2786/ethi1244	sout3078	South Ethiopic
afro1255/semi1276/west2786/ethi1244	tigr1277	Tigre-Dahalik
afro1255/semi1276/west2786/ethi1244/sout3078	hara1270	Harari-East Gurage
afro1255/semi1276/west2786/ethi1244/sout3078	oute1258	Outer South Ethiopic
afro1255/semi1276/west2786/ethi1244/sout3078	amha1244	Amharic-Argobba
afro1255/semi1276/west2786/ethi1244/sout3078/hara1270	silt1239	Silte-Wolane
afro1255/semi1276/west2786/ethi1244/sout3078/oute1258	ngro1237	N-Group
afro1255/semi1276/west2786/ethi1244/sout3078/oute1258	ttgr1237	TT-Group
afro1255/semi1276/west2786/ethi1244/sout3078/oute1258/ttgr1237	inor1239	Peripheral Western Gurage
afro1255/cush1243	east2699	East Cushitic
afro1255/cush1243	sout3054	South Cushitic
afro1255/cush1243	cent2193	Agaw
afro1255/cush1243/east2699	unun9873	Unclassified East Cushitic
afro1255/cush1243/east2699	lowl1267	Lowland East Cushitic
afro1255/cush1243/east2699	high1285	Highland East Cushitic
afro1255/cush1243/east2699/lowl1267	sout3055	Southern Lowland East Cushitic
afro1255/cush1243/east2699/lowl1267	saho1245	Saho-Afar
